headline,url
Queensland medicinal cannabis farm to supply patients within weeks,https://www.9news.com.au/national/queensland-news-medicinal-cannabis-farm-opens-sunshine-coast-medifarm/ad0ef813-4a76-4a23-9ec4-b3cf4c47a32b
Proud mum says she became 'criminal' to treat son,https://www.9news.com.au/national/a-current-affair-medicinal-cannabis-red-tape-families-struggling-access-aca/788a7555-32ae-470e-aed1-08b7307af97a
Olivia Newton-John reveals medicinal cannabis is part of her cancer treatment,https://www.9news.com.au/national/olivia-newton-johhn-60-minutes-cancer-medicinal-cannabis-key-to-recovery/3fe1b1ce-f8dd-43fd-b534-d2f4000dfd1e
Olivia Newton-John: 'Medicinal cannabis enhanced my quality of life',https://www.9news.com.au/national/olivia-newton-john-60-minutes-medical-cannabis-advocate-after-cancer-treatment-news/da315271-7387-47e0-a14e-c7fbb9a4b18b
'I'm a criminal for saving my son's life',https://www.9news.com.au/national/medical-cannabis-mother-says-marijuana-saved-sons-life-australia-news-health/a8fc4526-0225-4991-a613-99bfa7d5ce5c
Canada running out of weed just days after legalisation,https://www.9news.com.au/world/canada-marijuana-legalisation-weed-shortage/2cf62153-97ea-4d01-bcbd-8edbd0e0b274
Canada now biggest legal marijuana market,https://www.9news.com.au/world/canada-legalise-marijuana-cannabis-largest-marketplace/39374856-d5d6-4e3d-94c5-33f5a60ea385
Family forced to pay $40k a year for son's medicinal cannabis,https://www.9news.com.au/national/wa-family-forced-to-pay-40k-a-year-for-sons-medicinal-cannabis/5d1bd23e-6081-4040-86ad-2cef12bd6f2b
Cannabis tested for insomnia cure in world first trial,https://www.9news.com.au/national/cannabis-tested-for-insomnia-cure-in-world-first-trial/18524097-14f2-46ad-ab32-e90fd53b32b2
'Cumbersome' medicinal cannabis process 'unworkable',https://www.9news.com.au/health/cumbersome-medicinal-cannabis-process-only-for-the-wealthy-lucky-few/8421df3d-f870-4a29-98ad-527adebe0d16
Medicinal cannabis supplier set for government showdown in SA court,https://www.9news.com.au/health/jenny-hallam-medicinal-cannabis-supplier-set-for-government-showdown-in-south-australia-court/23f0f07b-77c6-4dd8-8633-b3b97cc1d18d
The giant medicinal cannabis crop being grown on the Sunshine Coast,https://www.9news.com.au/national/medicinal-cannabis-grown-sunshine-coast-legal-crop-compound-tour-today/1dc9b48e-a68f-46f2-b7f6-7f92a0ef3fe8
Australia set to become 'top exporter of medicinal cannabis',https://www.9news.com.au/national/australia-set-to-become-top-exporter-of-medicinal-cannabis/d01b8f91-bfdb-4505-80dc-ed7c8172ea74
Medicinal cannabis remains dilemma for Aussie GPs and patients,https://www.9news.com.au/health/medicinal-cannabis-remains-confusing-dilemma-for-australian-doctors-and-patients/93e36c19-18cc-4375-a339-93d4da424f0c
"Medicinal cannabis laws not working, campaigners claim",https://www.9news.com.au/health/harder-to-get-oil-than-a-gun-medicinal-cannabis-laws-not-working-campaigners-claim/0a073506-c3f7-49c2-97ef-912f4844ef43
GPs send dying Australians underground in their search for medicinal cannabis,https://www.9news.com.au/health/gps-send-dying-australians-underground-in-their-search-for-medicinal-cannabis/6e8fd0ab-c88a-4346-99e6-3a5cbb1118e6
Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis,https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126
