snippet_std,preprocessed_snippet,date_std,source
Cann Group has begun harvesting at a first of its kind medical cannabis facility in north west Victoria Key points The first crop has been,"['Cann', 'Group', 'begun', 'harvesting', 'first', 'kind', 'medical', 'cannabis', 'facility', 'north', 'west', 'Victoria', 'Key', 'point', 'The', 'first', 'crop']",2022-06-03,snippet
An Australian medical cannabis company says the rise of the Australia s first seed to sale medicinal cannabis producer has seen an,"['An', 'Australian', 'medical', 'cannabis', 'company', 'say', 'rise', 'Australia', 'first', 'seed', 'sale', 'medicinal', 'cannabis', 'producer', 'seen']",2020-08-01,snippet
The Victorian Government passes a bill to legalise the manufacture and use of medicinal cannabis which should see children with severe,"['The', 'Victorian', 'Government', 'pass', 'bill', 'legalise', 'manufacture', 'use', 'medicinal', 'cannabis', 'see', 'child', 'severe']",2016-04-12,snippet
After a stellar basketball career Lauren Jackson was left with chronic knee hip and back pain She was prescribed medicinal cannabis for,"['After', 'stellar', 'basketball', 'career', 'Lauren', 'Jackson', 'left', 'chronic', 'knee', 'hip', 'back', 'pain', 'She', 'prescribed', 'medicinal', 'cannabis']",2021-12-05,snippet
Researchers have published what they say is the first scientific evidence that medicinal cannabis helps children with severe epilepsy,"['Researchers', 'published', 'say', 'first', 'scientific', 'evidence', 'medicinal', 'cannabis', 'help', 'child', 'severe', 'epilepsy']",2017-05-24,snippet
Researchers at Curtin University in Western Australia have teamed up with local medical cannabis producer Little Green Pharma to investigate,"['Researchers', 'Curtin', 'University', 'Western', 'Australia', 'teamed', 'local', 'medical', 'cannabis', 'producer', 'Little', 'Green', 'Pharma', 'investigate']",2022-02-14,snippet
Vanuatu businesses can now apply for licenses to grow and sell medical cannabis and hemp but there is concern the plan could lead to social,"['Vanuatu', 'business', 'apply', 'license', 'grow', 'sell', 'medical', 'cannabis', 'hemp', 'concern', 'plan', 'could', 'lead', 'social']",2023-02-22,snippet
21 year old Ben Oakley says access to medicinal cannabis has abc net au news medicinal marijuana to become legal explainer 7975194,"['21', 'year', 'old', 'Ben', 'Oakley', 'say', 'access', 'medicinal', 'cannabis', 'abc', 'net', 'au', 'news', 'medicinal', 'marijuana', 'become', 'legal', 'explainer', '7975194']",2016-10-28,snippet
An Australian medicinal cannabis company is working to address a global shortage of pharmaceutical grade product reducing cost and,"['An', 'Australian', 'medicinal', 'cannabis', 'company', 'working', 'address', 'global', 'shortage', 'pharmaceutical', 'grade', 'product', 'reducing', 'cost']",2019-06-22,snippet
The Federal Government has approved the importation of medicinal marijuana But it still won t be easy for people to get a prescription,"['The', 'Federal', 'Government', 'approved', 'importation', 'medicinal', 'marijuana', 'But', 'still', 'easy', 'people', 'get', 'prescription']",2017-02-21,snippet
A proposed marijuana farm will process 500 tonnes of medicinal cannabis a year for domestic and overseas markets and will have an export,"['A', 'proposed', 'marijuana', 'farm', 'process', '500', 'tonne', 'medicinal', 'cannabis', 'year', 'domestic', 'overseas', 'market', 'export']",2021-04-14,snippet
Over 60 per cent of the total applications received were for chronic pain and this would include those accessing medicinal cannabis,"['Over', '60', 'per', 'cent', 'total', 'application', 'received', 'chronic', 'pain', 'would', 'include', 'accessing', 'medicinal', 'cannabis']",2020-12-09,snippet
Her illness Chronic Fatigue Syndrome or Myalgic Encephalomyelitis ME is poorly understood and has no certain pharmacological treatment,"['Her', 'illness', 'Chronic', 'Fatigue', 'Syndrome', 'Myalgic', 'Encephalomyelitis', 'ME', 'poorly', 'understood', 'certain', 'pharmacological', 'treatment']",2016-08-13,snippet
Children with severe drug resistant epilepsy will be the first in Queensland to be treated with medicinal cannabis Health Minister Cameron,"['Children', 'severe', 'drug', 'resistant', 'epilepsy', 'first', 'Queensland', 'treated', 'medicinal', 'cannabis', 'Health', 'Minister', 'Cameron']",2015-10-21,snippet
He said medical marijuana was still pretty much inaccessible for It is frustrating for us because medicinal cannabis might be an,"['He', 'said', 'medical', 'marijuana', 'still', 'pretty', 'much', 'inaccessible', 'It', 'frustrating', 'u', 'medicinal', 'cannabis', 'might']",2018-07-23,snippet
An email obtained by the ABC shows the Government appearing to warn medicinal cannabis importers against supplying their product to,"['An', 'email', 'obtained', 'ABC', 'show', 'Government', 'appearing', 'warn', 'medicinal', 'cannabis', 'importer', 'supplying', 'product']",2017-08-23,snippet
Doctors label medicinal cannabis prescriptions a bureaucratic nightmare requiring a massive learning curve as patients say people in,"['Doctors', 'label', 'medicinal', 'cannabis', 'prescription', 'bureaucratic', 'nightmare', 'requiring', 'massive', 'learning', 'curve', 'patient', 'say', 'people']",2020-05-07,snippet
Medicinal cannabis advocate Jenny Hallam speaks to media outside court at a previous hearing ABC News Rebecca Opie Share this article,"['Medicinal', 'cannabis', 'advocate', 'Jenny', 'Hallam', 'speaks', 'medium', 'outside', 'court', 'previous', 'hearing', 'ABC', 'News', 'Rebecca', 'Opie', 'Share', 'article']",2019-11-06,snippet
A medicinal cannabis farm under construction in Queensland opens its doors for the first time amid James Bond style security at its secret,"['A', 'medicinal', 'cannabis', 'farm', 'construction', 'Queensland', 'open', 'door', 'first', 'time', 'amid', 'James', 'Bond', 'style', 'security', 'secret']",2017-07-30,snippet
There are only 25 authorised prescribers of medicinal cannabis products and fewer than 150 people in Australia have ever been given approved,"['There', '25', 'authorised', 'prescribers', 'medicinal', 'cannabis', 'product', 'fewer', '150', 'people', 'Australia', 'ever', 'given', 'approved']",2017-05-29,snippet
The Tasmanian company that applied to trial medicinal cannabis in the state has Health Cannabinoids THC approval to grow medical cannabis,"['The', 'Tasmanian', 'company', 'applied', 'trial', 'medicinal', 'cannabis', 'state', 'Health', 'Cannabinoids', 'THC', 'approval', 'grow', 'medical', 'cannabis']",2014-08-01,snippet
In the midst of a rapidly growing medicinal cannabis industry Brisbane s western suburbs could soon house what is thought to be the city s,"['In', 'midst', 'rapidly', 'growing', 'medicinal', 'cannabis', 'industry', 'Brisbane', 'western', 'suburb', 'could', 'soon', 'house', 'thought', 'city']",2018-08-10,snippet
Australian farmers trying their hand at growing medicinal cannabis are having to secure their farms from thieves using motion sensors,"['Australian', 'farmer', 'trying', 'hand', 'growing', 'medicinal', 'cannabis', 'secure', 'farm', 'thief', 'using', 'motion', 'sensor']",2017-06-08,snippet
With Australian doctors ongoing reluctance to prescribe it to patients the nation s fledgling medicinal cannabis industry is eyeing off,"['With', 'Australian', 'doctor', 'ongoing', 'reluctance', 'prescribe', 'patient', 'nation', 'fledgling', 'medicinal', 'cannabis', 'industry', 'eyeing']",2019-01-26,snippet
Medicinal cannabis has been legal in Australia for three years but only for a limited number of people with a few very specific conditions,"['Medicinal', 'cannabis', 'legal', 'Australia', 'three', 'year', 'limited', 'number', 'people', 'specific', 'condition']",2019-07-24,snippet
Patients are potentially missing out on medicinal cannabis treatment or using the black market to obtain illegal supplies due to a lack of,"['Patients', 'potentially', 'missing', 'medicinal', 'cannabis', 'treatment', 'using', 'black', 'market', 'obtain', 'illegal', 'supply', 'due', 'lack']",2020-03-25,snippet
The Queensland and Victorian state governments join forces with New South Wales to take part in medicinal cannabis clinical trials,"['The', 'Queensland', 'Victorian', 'state', 'government', 'join', 'force', 'New', 'South', 'Wales', 'take', 'part', 'medicinal', 'cannabis', 'clinical', 'trial']",2015-04-18,snippet
Pet products containing whole spectrum medicinal cannabis are big business in the US but with studies still determining how well they work,"['Pet', 'product', 'containing', 'whole', 'spectrum', 'medicinal', 'cannabis', 'big', 'business', 'US', 'study', 'still', 'determining', 'well', 'work']",2021-05-31,snippet
The medicinal cannabis industry has suffered a significant setback with stock values plummeting as the product takes longer than expected,"['The', 'medicinal', 'cannabis', 'industry', 'suffered', 'significant', 'setback', 'stock', 'value', 'plummeting', 'product', 'take', 'longer', 'expected']",2020-03-02,snippet
Allowing medicinal cannabis users to drive in South Australia is crazy and would put road users at risk Police Minister Peter Malinauskas,"['Allowing', 'medicinal', 'cannabis', 'user', 'drive', 'South', 'Australia', 'crazy', 'would', 'put', 'road', 'user', 'risk', 'Police', 'Minister', 'Peter', 'Malinauskas']",2017-07-06,snippet
NSW Premier Mike Baird said the state is breaking new ground in medical marijuana research The Lamberts investment gives our case enormous,"['NSW', 'Premier', 'Mike', 'Baird', 'said', 'state', 'breaking', 'new', 'ground', 'medical', 'marijuana', 'research', 'The', 'Lamberts', 'investment', 'give', 'case', 'enormous']",2015-06-11,snippet
Tilray now exports to eight countries and has a 30 million cultivation plant in Portugal Mr Kennedy said the global market for recreational,"['Tilray', 'export', 'eight', 'country', '30', 'million', 'cultivation', 'plant', 'Portugal', 'Mr', 'Kennedy', 'said', 'global', 'market', 'recreational']",2018-01-14,snippet
Medical marijuana is already a rapidly growing business in Israel the United States and Canada and many of those global companies are now,"['Medical', 'marijuana', 'already', 'rapidly', 'growing', 'business', 'Israel', 'United', 'States', 'Canada', 'many', 'global', 'company']",2017-02-21,snippet
Olive Wraight tried to access medicinal cannabis for chronic pain relief through legal channels for more than a year The 89 year old is one of,"['Olive', 'Wraight', 'tried', 'access', 'medicinal', 'cannabis', 'chronic', 'pain', 'relief', 'legal', 'channel', 'year', 'The', '89', 'year', 'old', 'one']",2019-04-13,snippet
Study lead and head of Paediatric Neurology at Monash Medical Centre Professor Michael Fahey told Virginia Trioli on Mornings the results were,"['Study', 'lead', 'head', 'Paediatric', 'Neurology', 'Monash', 'Medical', 'Centre', 'Professor', 'Michael', 'Fahey', 'told', 'Virginia', 'Trioli', 'Mornings', 'result']",2022-11-17,snippet
Queensland GPs will soon be able to prescribe medicinal cannabis for patients under new laws passed by State Parliament on Wednesday night,"['Queensland', 'GPs', 'soon', 'able', 'prescribe', 'medicinal', 'cannabis', 'patient', 'new', 'law', 'passed', 'State', 'Parliament', 'Wednesday', 'night']",2016-10-12,snippet
The first two commercial shipments of medicinal cannabis products to be legally imported to Australia have arrived in Melbourne and Perth,"['The', 'first', 'two', 'commercial', 'shipment', 'medicinal', 'cannabis', 'product', 'legally', 'imported', 'Australia', 'arrived', 'Melbourne', 'Perth']",2017-05-03,snippet
The Tasmanian Government has changed its position on conducting medicinal cannabis growing trials in the state Health Minister Michael,"['The', 'Tasmanian', 'Government', 'changed', 'position', 'conducting', 'medicinal', 'cannabis', 'growing', 'trial', 'state', 'Health', 'Minister', 'Michael']",2014-09-07,snippet
A Tasmanian mother has told a parliamentary inquiry how medicinal cannabis has miraculously improved the health of her nine year old,"['A', 'Tasmanian', 'mother', 'told', 'parliamentary', 'inquiry', 'medicinal', 'cannabis', 'miraculously', 'improved', 'health', 'nine', 'year', 'old']",2014-09-17,snippet
Medicinal cannabis is gaining attention and credibility around the world with growing evidence that it can offer benefits for those,"['Medicinal', 'cannabis', 'gaining', 'attention', 'credibility', 'around', 'world', 'growing', 'evidence', 'offer', 'benefit']",2017-02-16,snippet
Medicinal cannabis produced overseas will be easier to access for terminally ill patients after the Senate voted to remove tighter controls,"['Medicinal', 'cannabis', 'produced', 'overseas', 'easier', 'access', 'terminally', 'ill', 'patient', 'Senate', 'voted', 'remove', 'tighter', 'control']",2017-06-12,snippet
Inside the secure facility growing medicinal cannabis at a secret location in Tasmania,"['Inside', 'secure', 'facility', 'growing', 'medicinal', 'cannabis', 'secret', 'location', 'Tasmania']",2020-03-20,snippet
Australians prescribed medicinal cannabis will now have access to the drug within two days after all state and territories signed up to a,"['Australians', 'prescribed', 'medicinal', 'cannabis', 'access', 'drug', 'within', 'two', 'day', 'state', 'territory', 'signed']",2018-04-13,snippet
Doctors and patients say they are frustrated at the difficulties of getting hold of legal medicinal cannabis with reports that some people,"['Doctors', 'patient', 'say', 'frustrated', 'difficulty', 'getting', 'hold', 'legal', 'medicinal', 'cannabis', 'report', 'people']",2017-08-16,snippet
A minerals exploration company buys a Tasmanian company as it tries to position itself to become Australia s first legal medicinal marijuana,"['A', 'mineral', 'exploration', 'company', 'buy', 'Tasmanian', 'company', 'try', 'position', 'become', 'Australia', 'first', 'legal', 'medicinal', 'marijuana']",2015-04-16,snippet
A national deal on a New South Wales trial of medicinal marijuana could open the door to its expansion to other states and territories,"['A', 'national', 'deal', 'New', 'South', 'Wales', 'trial', 'medicinal', 'marijuana', 'could', 'open', 'door', 'expansion', 'state', 'territory']",2014-10-13,snippet
A grandfather s love has lead to a 33 million donation to Sydney University for medicinal cannabis research Businessman and philanthropist,"['A', 'grandfather', 'love', 'lead', '33', 'million', 'donation', 'Sydney', 'University', 'medicinal', 'cannabis', 'research', 'Businessman', 'philanthropist']",2015-08-03,snippet
Tasmania will allow specialist doctors to prescribe medicinal cannabis for people with serious or chronic illnesses from 2017,"['Tasmania', 'allow', 'specialist', 'doctor', 'prescribe', 'medicinal', 'cannabis', 'people', 'serious', 'chronic', 'illness', '2017']",2016-04-22,snippet
Despite government claims that a streamlined medicinal cannabis system has led to an increase in prescriptions at least 100000 people are,"['Despite', 'government', 'claim', 'streamlined', 'medicinal', 'cannabis', 'system', 'led', 'increase', 'prescription', 'least', '100000', 'people']",2019-02-21,snippet
There has been a surge in approvals for people wanting to use medicinal cannabis in Australia from 2500 last year to 16000 this year,"['There', 'surge', 'approval', 'people', 'wanting', 'use', 'medicinal', 'cannabis', 'Australia', '2500', 'last', 'year', '16000', 'year']",2019-10-22,snippet
Jordon Kotarac with his daughter Juliette whose seizures were not halted by medicinal cannabis treatment Supplied Jordan Kotarac,"['Jordon', 'Kotarac', 'daughter', 'Juliette', 'whose', 'seizure', 'halted', 'medicinal', 'cannabis', 'treatment', 'Supplied', 'Jordan', 'Kotarac']",2018-06-07,snippet
Bittersweet is how campaigner Lucy Haslam describes the passing of legislation to legalise the cultivation of cannabis for medicinal,"['Bittersweet', 'campaigner', 'Lucy', 'Haslam', 'describes', 'passing', 'legislation', 'legalise', 'cultivation', 'cannabis', 'medicinal']",2016-02-24,snippet
Over the past few years Australia has inched towards a more mainstream use of medicinal cannabis But according to Professor Jennifer,"['Over', 'past', 'year', 'Australia', 'inched', 'towards', 'mainstream', 'use', 'medicinal', 'cannabis', 'But', 'according', 'Professor', 'Jennifer']",2016-05-30,snippet
Cannabis companies are spending millions on their operations and are ready to reap the returns but patients are still struggling to access,"['Cannabis', 'company', 'spending', 'million', 'operation', 'ready', 'reap', 'return', 'patient', 'still', 'struggling', 'access']",2021-12-20,snippet
Katelyn Lambert who has epilepsy will feature in a campaign advocating medicinal cannabis ABC News Meredith Griffiths,"['Katelyn', 'Lambert', 'epilepsy', 'feature', 'campaign', 'advocating', 'medicinal', 'cannabis', 'ABC', 'News', 'Meredith', 'Griffiths']",2017-01-20,snippet
The lawyer representing South Australian woman Jenny Hallam who admits supplying cannabis oil to terminally ill people questions why,"['The', 'lawyer', 'representing', 'South', 'Australian', 'woman', 'Jenny', 'Hallam', 'admits', 'supplying', 'cannabis', 'oil', 'terminally', 'ill', 'people', 'question']",2017-04-09,snippet
While people who use medicinal cannabis are now welcoming the recent changes to importation laws some say the Federal Government still,"['While', 'people', 'use', 'medicinal', 'cannabis', 'welcoming', 'recent', 'change', 'importation', 'law', 'say', 'Federal', 'Government', 'still']",2017-02-21,snippet
Inside Medifarm s top secret medicinal marijuana farm ABC Rural Queensland s first licensed medicinal cannabis farm has started,"['Inside', 'Medifarm', 'top', 'secret', 'medicinal', 'marijuana', 'farm', 'ABC', 'Rural', 'Queensland', 'first', 'licensed', 'medicinal', 'cannabis', 'farm', 'started']",2018-11-07,snippet
The State Government will spend 21 million on cannabis research ahead NSW government announces cultivation trials of medical cannabis,"['The', 'State', 'Government', 'spend', '21', 'million', 'cannabis', 'research', 'ahead', 'NSW', 'government', 'announces', 'cultivation', 'trial', 'medical', 'cannabis']",2016-07-24,snippet
What will the federal government s proposed IR changes mean for you delays for over the counter medicinal cannabis and when do you step in,"['What', 'federal', 'government', 'proposed', 'IR', 'change', 'mean', 'delay', 'counter', 'medicinal', 'cannabis', 'step']",2021-02-04,snippet
Labor calls for nationally consistent scheme Federal Health Minister says medicinal cannabis industry could flourish in Australia Health,"['Labor', 'call', 'nationally', 'consistent', 'scheme', 'Federal', 'Health', 'Minister', 'say', 'medicinal', 'cannabis', 'industry', 'could', 'flourish', 'Australia', 'Health']",2015-10-16,snippet
The Dutch health ministry s Office for Medical Cannabis this week Two types of medicinal cannabis went on sale in The Netherlands this,"['The', 'Dutch', 'health', 'ministry', 'Office', 'Medical', 'Cannabis', 'week', 'Two', 'type', 'medicinal', 'cannabis', 'went', 'sale', 'The', 'Netherlands']",2003-09-05,snippet
While the Federal Government pushes for Australia to become a worldwide medicinal cannabis supplier patients in regional towns are,"['While', 'Federal', 'Government', 'push', 'Australia', 'become', 'worldwide', 'medicinal', 'cannabis', 'supplier', 'patient', 'regional', 'town']",2018-01-04,snippet
The first medicinal cannabis mother plants are expected to be progress at medicinal cannabis site ABC Rural Jennifer Nichols,"['The', 'first', 'medicinal', 'cannabis', 'mother', 'plant', 'expected', 'progress', 'medicinal', 'cannabis', 'site', 'ABC', 'Rural', 'Jennifer', 'Nichols']",2018-01-08,snippet
A 10 million medicinal cannabis plant opens in northern Tasmania but a scheme to help people legally access the drug is only helping 16,"['A', '10', 'million', 'medicinal', 'cannabis', 'plant', 'open', 'northern', 'Tasmania', 'scheme', 'help', 'people', 'legally', 'access', 'drug', 'helping', '16']",2020-08-14,snippet
Australia s fledgling medicinal cannabis market is about to get a big boost with the Federal Government to allow exports of cannabis based,"['Australia', 'fledgling', 'medicinal', 'cannabis', 'market', 'get', 'big', 'boost', 'Federal', 'Government', 'allow', 'export', 'cannabis', 'based']",2018-01-03,snippet
Young veteran with PTSD immediately signs up for medicinal cannabis trial Medications used to treat the disorder cause him crippling side,"['Young', 'veteran', 'PTSD', 'immediately', 'sign', 'medicinal', 'cannabis', 'trial', 'Medications', 'used', 'treat', 'disorder', 'cause', 'crippling', 'side']",2019-06-13,snippet
The Tasmanian Government rejects a recommendation from an Upper House committee that it urgently move to decriminalise medicinal cannabis,"['The', 'Tasmanian', 'Government', 'reject', 'recommendation', 'Upper', 'House', 'committee', 'urgently', 'move', 'decriminalise', 'medicinal', 'cannabis']",2014-11-20,snippet
Tasmanian Alkaloids and AusCann announced this week they had been granted a medicinal cannabis cultivation licence and a research and,"['Tasmanian', 'Alkaloids', 'AusCann', 'announced', 'week', 'granted', 'medicinal', 'cannabis', 'cultivation', 'licence', 'research']",2017-07-12,snippet
Medicinal cannabis producer and campaigner Tony Bower avoids time in prison for cultivating a commercial quantity of a prohibited drug,"['Medicinal', 'cannabis', 'producer', 'campaigner', 'Tony', 'Bower', 'avoids', 'time', 'prison', 'cultivating', 'commercial', 'quantity', 'prohibited', 'drug']",2019-03-04,snippet
A medicinal cannabis advocate has successfully appealed against a 12 month jail sentence for breaching a good behaviour bond by cultivating,"['A', 'medicinal', 'cannabis', 'advocate', 'successfully', 'appealed', '12', 'month', 'jail', 'sentence', 'breaching', 'good', 'behaviour', 'bond', 'cultivating']",2014-10-07,snippet
Demand for medicinal cannabis is booming seven years on from legalisation Doctors say scientific evidence to support its use is still lacking,"['Demand', 'medicinal', 'cannabis', 'booming', 'seven', 'year', 'legalisation', 'Doctors', 'say', 'scientific', 'evidence', 'support', 'use', 'still', 'lacking']",2023-02-25,snippet
The grandparents of a girl with epilepsy have donated 33 million to Sydney University to fund research into medical cannabis,"['The', 'grandparent', 'girl', 'epilepsy', 'donated', '33', 'million', 'Sydney', 'University', 'fund', 'research', 'medical', 'cannabis']",2015-06-12,snippet
NZ MPs have voted through a bill providing the terminally ill in palliative care a legal defence when using illicit cannabis products,"['NZ', 'MPs', 'voted', 'bill', 'providing', 'terminally', 'ill', 'palliative', 'care', 'legal', 'defence', 'using', 'illicit', 'cannabis', 'product']",2018-12-11,snippet
Medical cannabis sparked former LNP MP Steve Dickson to jump to One Nation despite Queensland parliament making the drug legal late last,"['Medical', 'cannabis', 'sparked', 'former', 'LNP', 'MP', 'Steve', 'Dickson', 'jump', 'One', 'Nation', 'despite', 'Queensland', 'parliament', 'making', 'drug', 'legal', 'late', 'last']",2017-01-13,snippet
Victoria s medicinal cannabis industry is expected to get a boost with news that two Canadian companies will invest in the state,"['Victoria', 'medicinal', 'cannabis', 'industry', 'expected', 'get', 'boost', 'news', 'two', 'Canadian', 'company', 'invest', 'state']",2019-01-28,snippet
